No.,Category,Standardized attributes,Description,Sample values
0,Bottom Wear,brand,Brand refers to a type of product manufactured by a company under a particular name.,supriya||wrangler||for you for me||arrow||louis philippe||park avenue||jj fashion||denbee||vghome||sri belha fashions||levis||metronaut||german club||flying machine||patrorna||mufti||moda rapido||u.s. polo assn||aditi fashion||numero uno||parx||rhino||lee||catty trader||people||bigmegamart||perfect outlet||masterly weft||kotty||blackberrys||ansh fashion wear||united colors of benetton||only||locomotive||killer||hrx by hrithik roshan||wrogn||gini & jony||levi's||colorplus||aeropostale||superiya||hotfits||peter england||u.s. polo assn.||spykar||allen solly||roadster||mirasa||rajvila||yozo||indian terrain||rock hudson||raymond||vivua||ap services||van heusen||savitri fashion||cherokee||rzlecort||mast & harbour||here&now||pepe jeans||junior bird||zyra||gap||emrse||myra-syra
1,Bottom Wear,closure,"Closure refers to the closing mechanism of a product. Possible values are Button, Zip, Velcro, etc.","zip fly||velcro||zip closure||button ||button & zip||buttoned closure||zipper||snap button||light wash||elastic band||strechable rubber||drawstring||button and zip||popper zip||stretchable||hook and bar||zipper, button||zip and button closure||hook||zip front||press button||elastic||button closure||etc||button , zipp||button & zipper||elastic band with drawstring||elasticated waist band||button/zipper||buton||elasticated waistband.||elasticated||2 button||stretchable rubber||buttoned||2 side pockets||botton||zip, button||slip-on||zipper  button||buttons||belt||elasticated band||button fly||zip||button"
2,Bottom Wear,color,,multicolor||blue||dark green||black||light green||beige||silver||gold||khaki||light blue||dark grey||white||red||grey||green||pink||purple||brown||dark blue||maroon||cream||yellow||orange
3,Bottom Wear,fabric,Fabric refers to the materials used to make a particular product.,genuine leather||poly georgette||poly crepe||faux velvet||cotton fleece blend||fleece||crepe chiffon||faux fur||cotton viscose blend||faux leather||art silk||latex||pure wool||cotton chambray blend||pure crepe||cotton jute blend||organic cotton blend||georgette nylon blend||raw silk||lace cotton||poly satin||cotton silk||fleece blend||cotton linen blend||khadi cotton||poly chanderi||nylon blend||silicone||cotton rayon blend||khadi silk||modal blend||pure jute||polyester viscose blend||jute||chambray||denim blend||jute blend||georgette silk blend||cotton polyester lycra blend||georgette||viscose georgette blend||satin blend||denim||rayon crepe blend||lace||net||cotton lycra blend||cotton jersey||crepe||tencel crepe blend||tissue||lycra blend||poly silk||silk blend||feather||pure silk||polyester lurex blend||polymer||viscose blend||cotton blend||cambric||linen blend||viscose||polyester||nylon||pure satin||acrylic blend||denim lycra blend||bhagalpuri silk||polycotton||jacquard||polyester blend||tencel||crepe georgette||pure georgette||dupion silk||chiffon||plush||tussar silk||viscose crepe blend||cotton crepe blend||tweed||pure modal||rayon||corduroy||poly chiffon||pure khadi||hosiery||cotton satin blend||velvet||pure linen||cotton tencel blend||pure cotton||georgette satin blend||georgette chiffon blend||wool blend||muslin
4,Bottom Wear,fabric_care,Fabric Care refers to the directions to be followed with respect to taking care of the product. It would relate to the washing and drying instructions for customers.,"hand wash with small amount of mild detergent||wash with like colors||do not bleach||do not dry in direct sunlight||convertible||do not iron on print/embroidery/embellishment||machine wash cold||hand wash/machine wash||hand wash||wash separately||do not wring||tumble dry low||slight shrinkage would be expected||gentle machine wash||do not bleech||machine wash as per tag||wash dark colors separately||machine wash||cold water wash only||wash dark color separately||m/c wash||wrinkle free||do not dry clean||reverse and iron||coated||travel features||gentle wash||cotton-lycra blend||do not tumble dry||reversible||tumble dry medium||slight color may bleed in first wash||denim||reverse and dry||slight color may bleed in all washes||dry in shade||easy wash||normal wash||always wash seapreatly||first wash dry clean thereafter handwash||dry flat||regular machine wash||stain resistant||98% cotton, 2% elastane||do not iron||dry clean only||do not steam iron"
5,Bottom Wear,jean_faded,Faded refers to the material fade type.,light fade||clean look||heavy fade
6,Bottom Wear,fit,Fit refers to fitting of the clothing that describes how it will fit the wearer's body. Please fill 'NA' if not applicable.,slim fit||slim||super skinny||regular fit||skinny||relaxed||regular||tapered fit||skinny fit||boyfriend||boot-leg||flared||tapered||na||jogger fit
7,Bottom Wear,ideal_for,Ideal For refers to which gender the product would be most suitable for.,women||baby boys & baby girls||girls||baby girls||boys||baby boys||men||boys & girls||men & women
8,Bottom Wear,jean_bottomwear_length_type,,cropped/ankle length||regular
9,Bottom Wear,trouser_occasion,"Occasion refers to the type of event that the product is ideally suited for. This is a Multi-Text attribute, that is, multiple options can be chosen. Please avoid combinations like Casual::Formal, Formal::Sports, Sports::Ethnic, Sports::Wedding, as these will not make any sense for the customer.",casual||party||formal||lounge wear||festive
10,Bottom Wear,suitable_for,Suitable for refers to the categorization of the product based on its usage and occasion.,fusion wear||western wear||maternity wear||ethnic wear
