No.,Category,Standardized attributes,Description,Sample values
0,Top Wear,brand,Brand refers to a type of product manufactured by a company under a particular name.,french connection||libas||la loft||arrow||jadu||oxolloxo||jangoboy||kouture||itki utki fashion||excalibur||indian outfitters||basics||mufti||blinkstar||katton||parx||exoctic silver||fashion grab||fab attire||shree||imara||apur||blackberrys||forever 21||snevik||blue lemon||unite wear||w||anouk||viitiv||sukhvilas fashion||zigshaw||u.s. polo assn.||hrinkar||gns||ruggers||philauri||ethnava||biba||nikvik||ahika||cherokee||peramoda||vedic||heyuze||tees world||gap||invictus||enchanted drapes||rasada||diaz||anahi||sayesha||aurelia||adidas||moda rapido||kazo||itkiutki||and||people||janasya||globus||parvfit||star||artywear||ada||wrogn||saadgi||keoti||peachmode||osw fabrics||ethnicity||span||spykar||allen solly||sparsh||aask||white pari||ritzees||cover story||raymond||pervious fashion||jwf||van heusen||vaanya||behemoth||pepe jeans||friskyfit||made in the shade||bacardi house||louis philippe||red tape||dsk studio||sangria||krishty trading||red vee||staresque||zoeyams||clemente||u.s. polo assn||canis||girlsncurls||rangmanch by pantaloons||lee||plus size kurtis||only||united colors of benetton||adorbs||dorothy perkins||colorplus||dollartree||christeena||vero moda||naari||crazyink||avivee||indian terrain||dressberry||deep collection||mast & harbour||tivy||exocticaa||envy 9||texco||eldino||melange||parno||wowboss||cynak||aseria||south india shopping mall||ss fashion||park avenue||broadstar||arrow sport||ziyaa||rama's||flying machine||puma||blezza||vbuyz||kalanjali||envy9||faballey||ep fab||sugr||locomotive||killer||alena||soch||cross colors||karigari||wild thunder||hirva collection||peter england||weather changer||roadster||forever young||fidaindia||mahageeta||kanchan world||sitka||vishudh||chemistry||fliponn||vs fab||aarya world||here&now||mankee tees||tommy hilfiger
1,Top Wear,collar,"Collar refers to a part of a shirt that encompasses the neckline of the garment, often so as to fold or roll over. Please enter the type of collar here.",lapel neck||shawl collar||others||peter pan collar||collarless||asymmetric neck||mandarin collar||button down||tie-up neck||tube neck||spread collar||u neck||tie up||double collared neck||tie up neck||mandarin/chinese neck||tie-up||lapel||wingtip||slim||sweetheart neck||overlap neck||collared||peter pan||strapless||u - neck||henley neck||cowl neck||ribbed collar||henley||curved collar||shirt collar||polo neck||hooded neck||hood||square neck||ruffled neck||turtle neck||shawl neck||double collar||scoop neck||lapel collar||boat neck||spaghetti neck||club||keyhole neck||off shoulder neck||off shoulder||v-neck||cold shoulder||pussy bow||key hole neck||regular shirt collar||built-up||one shoulder||cut away||spread||collared neck||ruffle collar||round neck||halter neck||high neck||pile collar/heap collar||v neck||one shoulder neck||pussy bow collar||mandarin||ruffle neck||choker neck||cowl collar
2,Top Wear,color,Color refers to the color of the product which is used in the filters.,multicolor||blue||dark green||black||light green||beige||silver||gold||khaki||light blue||white||red||grey||green||pink||purple||brown||dark blue||maroon||cream||yellow||orange
5,Top Wear,fabric,Fabric refers to the material used to make a particular product.,genuine leather||poly georgette||poly crepe||faux velvet||cotton fleece blend||fleece||crepe chiffon||faux fur||cotton viscose blend||faux leather||art silk||latex||pure wool||cotton chambray blend||pure crepe||cotton jute blend||organic cotton blend||georgette nylon blend||raw silk||lace cotton||poly satin||hemp||cotton silk||fleece blend||cotton linen blend||khadi cotton||poly chanderi||nylon blend||crepe blend||silicone||cotton rayon blend||rayon blend||khadi silk||pure jute||polyester viscose blend||jute||chambray||denim blend||jute blend||georgette silk blend||georgette||viscose georgette blend||satin blend||georgette blend||denim||rayon crepe blend||lace||net||cotton lycra blend||cotton jersey||crepe||tencel crepe blend||tissue||lycra blend||poly silk||silk blend||feather||pure silk||polyester lurex blend||polymer||viscose blend||cotton blend||cambric||linen blend||viscose||polyester||nylon||pure satin||acrylic blend||denim lycra blend||bhagalpuri silk||polycotton||jacquard||polyester blend||tencel||crepe georgette||pure georgette||dupion silk||chiffon||plush||tussar silk||viscose crepe blend||cotton crepe blend||tweed||pure modal||rayon||corduroy||poly chiffon||pure khadi||hosiery||cotton satin blend||velvet||pure linen||cotton tencel blend||pure cotton||georgette satin blend||georgette chiffon blend||wool blend||chiffon blend||muslin
6,Top Wear,fabric_care,Fabric Care refers to the directions to be followed with respect to taking care of the product. It would relate to the washing and drying instructions for customers.,wash with like colors||gental machine wash||lite wash||do not bleach||do not iron on print/embroidery/embellishment||hand wash||regular hand wash||wash separately||do not wring||slight shrinkage would be expected||first wash dry clean||gentle machine wash||dry clean||slight shrinkage would be expectedslight shrinkage would be expected||machine wash as per tag||machine wash||cold water wash only||machine & hand wash||do not dry clean||reverse and iron||gentle wash||do not tumble dry||wash with mild detergent||regular wash||regular  wash||slight color may bleed in first wash||reverse and dry||slight color may bleed in all washes||dry in shade||gentale mashine wash||easy wash||normal wash||hand and machine wash||hand wash only||first wash dry clean thereafter handwash||easy hand wash||hand wash only.||dry flat||regular machine wash||handwash||do not iron||dry clean only||do not steam iron
8,Top Wear,fit,Fit refers to the way the garment falls or drapes the wearer's body.,comfort||regural||wearer's body||fit and flare||standard||super slim||boxy||relaxed||regular/comfort fit||modern slim fit||regular kurti||slim fit||classic||anarkali||slim||classic fit||raguler||side slit||tailored||super slim fit||ragular||comfort slim||fit & flare||a-line||relaxed fit||straight||custom fit||smart fit||tailored fit||nuvo fit||mark pollo||regular fit||ragular fit||bs fashion||regular||fit||sport fit||luv fashion||reguler||compression||branded fit||flared||custom||loose fit||oversized||na||straight fit||regural fit||kurta||modern fit||comfort fit||vrrokin||loose
9,Top Wear,ideal_for,Ideal For refers to which gender the product would be most suitable for.,women||girls||baby boys & baby girls||baby girls||boys||baby boys||men||couple||boys & girls||men & women
10,Top Wear,hem,Hemline refers to the edge of a piece of cloth or clothing which has been turned under and sewn.,round||curved||asymmetric||straight||high low
11,Top Wear,topwear_length_type,Kurti length refers to the measurement of a kurti from top to end vertically.,short||long||longline||mid-thigh length||above knee||regular||calf length||hip length||below knee||floor length||crop||medium||knee length||ankle length||below knee length||waist||mid
12,Top Wear,occasion,"Occasion refers to the type of event that the product is ideally suited for. This is a Multi-Text attribute, that is, multiple options can be chosen. Please avoid combinations like Casual::Formal, Formal::Sports, Sports::Ethnic, Sports::Wedding, as these will not make any sense for the customer.",party||wedding||festive & party||beach wear||sports||casual||formal||lounge wear
